student_id,first_name,last_name,subject,quarter1,quarter2,quarter3,quarter4
1,Lauren,Taylor,Math,91,89,93,91
1,Lauren,Taylor,English,87,85,90,88
1,Lauren,Taylor,Science,94,92,96,94
1,Lauren,Taylor,History,90,88,92,90
1,Lauren,Taylor,PE,90,88,92,90
1,Lauren,Taylor,Art,92,90,95,93
2,Nicholas,Turner,Math,86,84,88,86
2,Nicholas,Turner,English,82,80,85,83
2,Nicholas,Turner,Science,89,87,91,89
2,Nicholas,Turner,History,84,82,87,85
2,Nicholas,Turner,PE,93,91,95,93
2,Nicholas,Turner,Art,88,86,91,89
3,Megan,Upton,Math,98,96,100,98
3,Megan,Upton,English,94,92,96,94
3,Megan,Upton,Science,100,98,100,99
3,Megan,Upton,History,96,94,98,96
3,Megan,Upton,PE,89,87,91,89
3,Megan,Upton,Art,97,95,99,97
4,Kevin,Valdez,Math,80,83,81,79
4,Kevin,Valdez,English,76,79,77,75
4,Kevin,Valdez,Science,83,81,85,83
4,Kevin,Valdez,History,79,77,81,79
4,Kevin,Valdez,PE,91,89,93,91
4,Devin,Valdez,Art,82,80,85,83
5,Lauren,Wright,Math,88,86,90,88
5,Lauren,Wright,English,84,82,87,85
5,Lauren,Wright,Science,91,89,93,91
5,Lauren,Wright,History,86,84,89,87
5,Lauren,Wright,PE,94,92,96,94
5,Lauren,Wright,Art,90,88,92,90
