student_id,first_name,last_name,subject,quarter1,quarter2,quarter3,quarter4
1,Aiden,O'Brien,Math,84,87,85,83
1,Aiden,O'Brien,English,80,83,81,79
1,Aiden,O'Brien,Science,88,86,90,87
1,Aiden,O'Brien,History,82,80,84,82
1,Aiden,O'Brien,PE,92,90,94,92
1,Aiden,O'Brien,Art,86,84,89,87
2,Harper,Patel,Math,90,88,92,90
2,Harper,Patel,English,86,84,89,87
2,Harper,Patel,Science,93,91,95,93
2,Harper,Patel,History,89,87,91,89
2,Harper,Patel,PE,88,86,90,88
2,Harper,Patel,Art,91,89,94,92
3,Wyatt,Quinn,Math,77,80,78,76
3,Wyatt,Quinn,English,82,85,83,81
3,Wyatt,Quinn,Science,80,83,81,79
3,Wyatt,Quinn,History,78,81,79,77
3,Wyatt,Quinn,PE,87,85,89,87
3,Wyatt,Quinn,Art,84,82,87,85
4,Abigail,Robinson,Math,92,90,94,92
4,Abigail,Robinson,English,88,86,90,88
4,Abigail,Robinson,Science,95,93,97,95
4,Abigail,Robinson,History,91,89,93,91
4,Abigail,Robinson,PE,86,84,89,87
4,Abigail,Robinson,Art,93,91,95,93
5,Grayson,Sanders,Math,89,87,91,89
5,Grayson,Sanders,English,85,83,88,86
5,Grayson,Sanders,Science,92,90,94,92
5,Grayson,Sanders,History,87,85,90,88
5,Grayson,Sanders,PE,94,92,96,94
5,Grayson,Sanders,Art,90,88,92,90
