student_id,first_name,last_name,subject,quarter1,quarter2,quarter3,quarter4
1,Ella,Thompson,Math,91,89,93,91
1,Ella,Thompson,English,87,85,90,88
1,Ella,Thompson,Science,94,92,96,94
1,Ella,Thompson,History,90,88,92,90
1,Ella,Thompson,PE,88,86,90,88
1,Ella,Thompson,Art,92,90,95,93
2,Logan,Underwood,Math,85,88,86,84
2,Logan,Underwood,English,81,84,82,80
2,Logan,Underwood,Science,88,86,90,87
2,Logan,Underwood,History,83,81,85,83
2,Logan,Underwood,PE,91,89,93,91
2,Logan,Underwood,Art,87,85,90,88
3,Chloe,Vaughn,Math,96,94,98,96
3,Chloe,Vaughn,English,92,90,94,92
3,Chloe,Vaughn,Science,98,96,100,98
3,Chloe,Vaughn,History,94,92,96,94
3,Chloe,Vaughn,PE,89,87,91,89
3,Chloe,Vaughn,Art,95,93,97,95
4,Jacob,Williams,Math,82,80,84,82
4,Jacob,Williams,English,78,81,79,77
4,Jacob,Williams,Science,85,83,87,85
4,Jacob,Williams,History,80,78,82,80
4,Jacob,Williams,PE,90,88,92,90
4,Jacob,Williams,Art,84,82,87,85
5,Victoria,Xavier,Math,88,86,90,88
5,Victoria,Xavier,English,84,82,87,85
5,Victoria,Xavier,Science,91,89,93,91
5,Victoria,Xavier,History,86,84,89,87
5,Victoria,Xavier,PE,93,91,95,93
5,Victoria,Xavier,Art,90,88,92,90
