student_id,first_name,last_name,subject,quarter1,quarter2,quarter3,quarter4
1,Marcus,Davis,Math,88,86,90,88
1,Marcus,Davis,English,84,82,87,85
1,Marcus,Davis,Science,91,89,93,91
1,Marcus,Davis,History,86,84,89,87
1,Marcus,Davis,PE,92,90,94,92
1,Marcus,Davis,Art,90,88,93,91
2,Jennifer,Evans,Math,94,92,96,94
2,Jennifer,Evans,English,90,88,92,90
2,Jennifer,Evans,Science,97,95,99,97
2,Jennifer,Evans,History,93,91,95,93
2,Jennifer,Evans,PE,89,87,91,89
2,Jennifer,Evans,Art,95,93,97,95
3,Christopher,Foster,Math,81,79,83,81
3,Christopher,Foster,English,77,75,80,78
3,Christopher,Foster,Science,84,82,86,84
3,Christopher,Foster,History,79,77,81,79
3,Christopher,Foster,PE,91,89,93,91
3,Christopher,Foster,Art,83,81,86,84
4,Amanda,Garcia,Math,90,88,92,90
4,Amanda,Garcia,English,86,84,89,87
4,Amanda,Garcia,Science,93,91,95,93
4,Amanda,Garcia,History,89,87,91,89
4,Amanda,Garcia,PE,93,91,95,93
4,Amanda,Garcia,Art,92,90,95,93
5,Jonathan,Harris,Math,86,84,88,86
5,Jonathan,Harris,English,82,80,85,83
5,Jonathan,Harris,Science,89,87,91,89
5,Jonathan,Harris,History,84,82,87,85
5,Jonathan,Harris,PE,94,92,96,94
5,Jonathan,Harris,Art,88,86,91,89
