student_id,first_name,last_name,subject,quarter1,quarter2,quarter3,quarter4
1,Matthew,Diaz,Math,86,84,88,86
1,Matthew,Diaz,English,82,80,85,83
1,Matthew,Diaz,Science,89,87,91,89
1,Matthew,Diaz,History,84,82,87,85
1,Matthew,Diaz,PE,92,90,94,92
1,Matthew,Diaz,Art,88,86,91,89
2,Elizabeth,Evans,Math,94,92,96,94
2,Elizabeth,Evans,English,90,88,93,91
2,Elizabeth,Evans,Science,97,95,99,97
2,Elizabeth,Evans,History,93,91,95,93
2,Elizabeth,Evans,PE,87,85,89,87
2,Elizabeth,Evans,Art,93,91,96,94
3,David,Foster,Math,78,81,79,77
3,David,Foster,English,83,86,84,82
3,David,Foster,Science,81,84,82,80
3,David,Foster,History,79,82,80,78
3,David,Foster,PE,89,87,91,89
3,David,Foster,Art,85,83,88,86
4,Sofia,Green,Math,91,89,93,91
4,Sofia,Green,English,87,85,90,88
4,Sofa,Green,Science,94,92,96,94
4,Sofia,Green,History,90,88,92,90
4,Sofia,Green,PE,90,88,92,90
4,Sofia,Green,Art,92,90,95,93
5,Andrew,Hayes,Math,83,81,85,83
5,Andrew,Hayes,English,79,77,82,80
5,Andrew,Hayes,Science,86,84,88,86
5,Andrew,Hayes,History,81,79,84,82
5,Andrew,Hayes,PE,93,91,95,93
5,Andrew,Hayes,Art,85,83,88,86
