student_id,first_name,last_name,subject,quarter1,quarter2,quarter3,quarter4
1,Emily,Young,Math,87,85,89,87
1,Emily,Young,English,83,81,86,84
1,Emily,Young,Science,90,88,92,90
1,Emily,Young,History,85,83,88,86
1,Emily,Young,PE,91,89,93,91
1,Emily,Young,Art,89,87,92,90
2,Alexander,Zhang,Math,93,91,95,93
2,Alexander,Zhang,English,89,87,92,90
2,Alexander,Zhang,Science,96,94,98,96
2,Alexander,Zhang,History,92,90,94,92
2,Alexander,Zhang,PE,88,86,90,88
2,Alexander,Zhang,Art,94,92,96,94
3,Madison,Anderson,Math,80,83,81,79
3,Madison,Anderson,English,85,88,86,84
3,Madison,Anderson,Science,83,86,84,82
3,Madison,Anderson,History,81,84,82,80
3,Madison,Anderson,PE,90,88,92,90
3,Madison,Anderson,Art,86,84,89,87
4,Daniel,Brown,Math,89,87,91,89
4,Daniel,Brown,English,85,83,88,86
4,Daniel,Brown,Science,92,90,94,92
4,Daniel,Brown,History,87,85,90,88
4,Daniel,Brown,PE,94,92,96,94
4,Daniel,Brown,Art,91,89,93,91
5,Grace,Chen,Math,95,93,97,95
5,Grace,Chen,English,91,89,93,91
5,Grace,Chen,Science,97,95,99,97
5,Grace,Chen,History,93,91,95,93
5,Grace,Chen,PE,89,87,91,89
5,Grace,Chen,Art,94,92,96,94
