student_id,first_name,last_name,subject,quarter1,quarter2,quarter3,quarter4
1,Charlotte,Jackson,Math,86,89,87,85
1,Charlotte,Jackson,English,82,85,83,81
1,Charlotte,Jackson,Science,90,92,89,88
1,Charlotte,Jackson,History,84,87,85,83
1,Charlotte,Jackson,PE,91,89,93,91
1,Charlotte,Jackson,Art,88,86,90,88
2,Benjamin,King,Math,93,90,94,92
2,Benjamin,King,English,88,86,90,88
2,Benjamin,King,Science,95,93,97,95
2,Benjamin,King,History,90,88,92,90
2,Benjamin,King,PE,87,85,89,87
2,Benjamin,King,Art,92,90,94,92
3,Evelyn,Lee,Math,79,82,80,78
3,Evelyn,Lee,English,85,88,86,84
3,Evelyn,Lee,Science,82,85,83,81
3,Evelyn,Lee,History,80,83,81,79
3,Evelyn,Lee,PE,89,87,91,89
3,Evelyn,Lee,Art,86,84,89,87
4,Elijah,Martinez,Math,88,86,90,88
4,Elijah,Martinez,English,84,82,87,85
4,Elijah,Martinez,Science,91,89,93,91
4,Elijah,Martinez,History,86,84,89,87
4,Elijah,Martinez,PE,94,92,96,94
4,Elijah,Martinez,Art,90,88,92,90
5,Aria,Nelson,Math,95,93,97,95
5,Aria,Nelson,English,91,89,93,91
5,Aria,Nelson,Science,97,95,99,97
5,Aria,Nelson,History,93,91,95,93
5,Aria,Nelson,PE,89,87,91,89
5,Aria,Nelson,Art,94,92,96,94
