student_id,first_name,last_name,subject,quarter1,quarter2,quarter3,quarter4
1,Ashley,York,Math,87,85,89,87
1,Ashley,York,English,83,81,86,84
1,Ashley,York,Science,90,88,92,90
1,Ashley,York,History,85,83,88,86
1,Ashley,York,PE,91,89,93,91
1,Ashley,York,Art,89,87,92,90
2,Tyler,Zhang,Math,93,91,95,93
2,Tyler,Zhang,English,89,87,92,90
2,Tyler,Zhang,Science,96,94,98,96
2,Tyler,Zhang,History,92,90,94,92
2,Tyler,Zhang,PE,88,86,90,88
2,Tyler,Zhang,Art,94,92,96,94
3,Brittany,Adams,Math,95,93,97,95
3,Brittany,Adams,English,91,89,93,91
3,Brittany,Adams,Science,98,96,100,98
3,Brittany,Adams,History,94,92,96,94
3,Brittany,Adams,PE,87,85,89,87
3,Brittany,Adams,Art,96,94,98,96
4,Patrick,Barnes,Math,82,80,84,82
4,Patrick,Barnes,English,78,76,81,79
4,Patrick,Barnes,Science,85,83,87,85
4,Patrick,Barnes,History,80,78,82,80
4,Patrick,Barnes,PE,92,90,94,92
4,Patrick,Barnes,Art,84,82,87,85
5,Kayla,Cook,Math,89,87,91,89
5,Kayla,Cook,English,85,83,88,86
5,Kayla,Cook,Science,92,90,94,92
5,Kayla,Cook,History,87,85,90,88
5,Kayla,Cook,PE,94,92,96,94
5,Kayla,Cook,Art,91,89,94,92
